"","SAMPLE","GROUP","GENE","SEQ_COUNT","COPY_COUNT","SEQ_FREQ","COPY_FREQ"
"964","CS_IMM24","CS_IMM","IGHV14-2",12,19,0.0054005400540054,0.00572806753090142
"965","CS_IMM24","CS_IMM","IGHV2-7",19,19,0.00855085508550855,0.00572806753090142
"966","CS_IMM25","CS_IMM","IGHV2-2",14,19,0.00351493848857645,0.00292442665845775
"967","CS_IMM25","CS_IMM","IGHV3-8",15,19,0.00376600552347477,0.00292442665845775
"968","CS_IMM25","CS_IMM","IGHV5-9",18,19,0.00451920662816972,0.00292442665845775
"969","CS_IMM26","CS_IMM","IGHV5-9",14,19,0.00243478260869565,0.00181297709923664
"970","RA_IMM4","RA_IMM","IGHV14-3",16,19,0.00162767039674466,0.00110522948054214
"971","RA_IMM6","RA_IMM","IGHV1-15",18,19,0.00247831474597274,0.00146176334820742
"972","RA_IMM8","RA_IMM","IGHV1-85",19,19,0.00264182424916574,0.00143104617006854
"973","CS_CTRL14","CS_CTRL","IGHV1-74",16,18,0.00579080709373869,0.00460829493087558
"974","CS_IMM18","CS_IMM","IGHV8-2",18,18,0.00754400670578374,0.00547778454047474
"975","CS_IMM19","CS_IMM","IGHV1-46",18,18,0.00652646845540247,0.0050761421319797
"976","CS_IMM22","CS_IMM","IGHV1-50",17,18,0.00302275960170697,0.00192061459667093
"977","CS_IMM22","CS_IMM","IGHV1-85",16,18,0.00284495021337127,0.00192061459667093
"978","CS_IMM22","CS_IMM","IGHV13-2",13,18,0.00231152204836415,0.00192061459667093
"979","CS_IMM23","CS_IMM","IGHV10-3",13,18,0.00425950196592398,0.0040232454179705
"980","CS_IMM24","CS_IMM","IGHV13-2",16,18,0.0072007200720072,0.00542659029243292
"981","CS_IMM25","CS_IMM","IGHV10-3",14,18,0.00351493848857645,0.00277050946590734
"982","CS_IMM26","CS_IMM","IGHV2-3",15,18,0.00260869565217391,0.0017175572519084
"983","RA_CTRL1","RA_CTRL","IGHV5-16",15,18,0.00481386392811297,0.00404949381327334
"984","RA_CTRL3","RA_CTRL","IGHV1-58",18,18,0.00374064837905237,0.00249584026622296
"985","RA_IMM12","RA_IMM","IGHV1-39",18,18,0.00438169425511198,0.00300150075037519
"986","RA_IMM6","RA_IMM","IGHV9-2",10,18,0.00137684152554041,0.00138482843514387
"987","RA_IMM8","RA_IMM","IGHV5-15",16,18,0.00222469410456062,0.00135572795059125
