"","SAMPLE","Q","D","D_SD","D_LOWER","D_UPPER","E","E_LOWER","E_UPPER"
"1","CS_CTRL14",0,190.225,8.87288087801121,172.834473039984,207.615526960016,1,0.908579172243311,1.09142082775669
"2","CS_CTRL14",1,54.450307453755,4.88893520141245,44.8681705362365,64.0324443712735,0.286241595235931,0.235868947489744,0.336614242982119
"3","CS_CTRL14",2,11.1081289866779,1.24956786781922,8.65902096951373,13.5572370038421,0.0583946851711285,0.0455198894441516,0.0712694808981054
"4","CS_CTRL15",0,214.37,10.3585519253393,194.067611294347,234.672388705653,1,0.905292770883738,1.09470722911626
"5","CS_CTRL15",1,78.4048418332825,6.31451581672873,66.0286182526857,90.7810654138793,0.36574540203052,0.308012400301748,0.423478403759292
"6","CS_CTRL15",2,27.295096399423,2.70071091201706,22.0018002792152,32.5883925196307,0.127327034563712,0.102634698321664,0.15201937080576
"7","CS_CTRL16",0,220.42,9.02556948467038,202.730208870082,238.109791129918,1,0.919745072452964,1.08025492754704
"8","CS_CTRL16",1,117.000706821937,7.09983709590113,103.08528181787,130.916131826005,0.530808033853268,0.467676625614144,0.593939442092391
"9","CS_CTRL16",2,61.4830449861682,5.22878704903226,51.2348106872355,71.7312792851009,0.278935872362618,0.232441750690661,0.325429994034574
"10","CS_IMM17",0,177.73,8.68123951967632,160.715083200269,194.744916799731,1,0.904265364318172,1.09573463568183
"11","CS_IMM17",1,67.3911540635651,5.25936544534437,57.0829872091556,77.6993209179745,0.379177145465397,0.321178119671162,0.437176171259633
"12","CS_IMM17",2,22.3930953009073,2.47109941226273,17.5498294506542,27.2363611511603,0.125995022229828,0.0987443281981332,0.153245716261522
"13","CS_IMM18",0,248.385,9.36028040425239,230.039187522469,266.730812477531,1,0.926139611983289,1.07386038801671
"14","CS_IMM18",1,150.019827786184,8.65196326770983,133.062291385909,166.977364186459,0.603981028589423,0.535709851182274,0.672252205996573
"15","CS_IMM18",2,86.684675615268,7.44298879767347,72.0966856344929,101.272665596043,0.348993198523534,0.290261833985518,0.40772456306155
"16","CS_IMM19",0,221.94,9.33014781723512,203.653246307784,240.226753692216,1,0.917604966692729,1.08239503330727
"17","CS_IMM19",1,84.6676934521224,6.91257712127306,71.1192912540716,98.2160956501731,0.381489111706418,0.320443774236603,0.442534449176233
"18","CS_IMM19",2,22.5721522306883,2.79020237832768,17.103456059588,28.0408484017885,0.101703848926233,0.0770634228151212,0.126344275037346
"19","CS_IMM21",0,218.725,9.54436217073887,200.018393889945,237.431606110055,1,0.914474311989692,1.08552568801031
"20","CS_IMM21",1,110.1208266983,7.30976472211307,95.7939511074974,124.447702289103,0.503467032567381,0.437965258235215,0.568968806899547
"21","CS_IMM21",2,48.7812637357758,5.06070290394726,38.8624683075819,58.7000591639697,0.223025551426567,0.177677303955112,0.268373798898021
"22","CS_IMM22",0,210.7,8.78097532385731,193.489604616105,227.910395383895,1,0.918318009568603,1.0816819904314
"23","CS_IMM22",1,122.145492494747,7.08535882567219,108.258444378886,136.032540610607,0.579712826268377,0.51380372272846,0.645621929808294
"24","CS_IMM22",2,69.9199889943748,6.11284705200262,57.9390289294478,81.9009490593018,0.331846174629211,0.274983526005922,0.3887088232525
"25","CS_IMM23",0,179.78,8.78735958307221,162.557091697976,197.002908302024,1,0.904200087317697,1.0957999126823
"26","CS_IMM23",1,63.3391220045205,5.10185487152123,53.3396702019886,73.3385738070523,0.352314617891425,0.296694127277721,0.40793510850513
"27","CS_IMM23",2,21.0964417393079,2.22616913055245,16.7332304199303,25.4596530586856,0.117345876845633,0.0930761509618993,0.141615602729367
"28","CS_IMM24",0,231.1,9.26440207075682,212.942105603018,249.257894396982,1,0.92142841022509,1.07857158977491
"29","CS_IMM24",1,110.214149731435,7.28886587610224,95.9282351261319,124.500064336739,0.476911076293532,0.41509405074051,0.538728101846554
"30","CS_IMM24",2,40.6797634444921,5.28771037426037,30.316041550263,51.0434853387213,0.176026670032419,0.131181486587031,0.220871853477807
"31","CS_IMM25",0,216.965,9.27924008108488,198.778023637173,235.151976362827,1,0.916175528943254,1.08382447105675
"32","CS_IMM25",1,114.866554768503,7.25392826563349,100.649116621424,129.083992915581,0.529424353091525,0.463895635800354,0.594953070382695
"33","CS_IMM25",2,53.6222842414627,5.56040190015602,42.7240967775889,64.5204717053366,0.247147163097563,0.196916999412757,0.297377326782369
"34","CS_IMM26",0,201.23,8.46376254285939,184.641330242296,217.818669757704,1,0.917563634857111,1.08243636514289
"35","CS_IMM26",1,111.260705281181,6.15674928237513,99.193698425883,123.327712136479,0.552903171898728,0.492936930009854,0.612869413787602
"36","CS_IMM26",2,63.589920738094,4.90893072184102,53.9685933206833,73.2112481555046,0.316006165770978,0.268193576110338,0.363818755431618
"37","RA_CTRL1",0,215.22,8.98919507746403,197.601501398166,232.838498601834,1,0.91813726139841,1.08186273860159
"38","RA_CTRL1",1,109.349474576431,6.61643525345466,96.3814997736186,122.317449379243,0.508082309155426,0.447827803055565,0.568336815255288
"39","RA_CTRL1",2,54.7486182194396,4.52396338457999,45.881812918285,63.6154235205943,0.254384435551713,0.213185637572182,0.295583233531244
"40","RA_CTRL2",0,187.27,7.22134607922789,173.116421764814,201.423578235186,1,0.924421539834537,1.07557846016546
"41","RA_CTRL2",1,91.2719224893634,5.33633825057572,80.8128917089116,101.730953269815,0.487381441177783,0.431531434340319,0.543231448015247
"42","RA_CTRL2",2,47.3804942541287,3.57294311397946,40.3776544319186,54.3833340763389,0.253006323779189,0.215611974325405,0.290400673232973
"43","RA_CTRL3",0,199.785,8.31289940288057,183.49201656325,216.07798343675,1,0.918447413786068,1.08155258621393
"44","RA_CTRL3",1,104.930840604138,6.28757669821042,92.6074167256119,117.254264482663,0.525218813244926,0.463535384166038,0.586902242323814
"45","RA_CTRL3",2,58.3556289932491,4.68802711592005,49.1672646874987,67.5439932989996,0.292092144021068,0.24610088188552,0.338083406156616
"46","RA_IMM11",0,219.345,8.43157352816211,202.819419551801,235.870580448199,1,0.924659415768771,1.07534058423123
"47","RA_IMM11",1,122.155044179651,6.94548889666522,108.542136087165,135.767952272138,0.55690826861634,0.494846639253981,0.618969897978699
"48","RA_IMM11",2,61.6880267178426,5.59236873471432,50.7271854095347,72.6488680261505,0.281237442010726,0.231266659415691,0.33120822460576
"49","RA_IMM12",0,175.52,8.69526527432917,158.477593226293,192.562406773707,1,0.902903334242782,1.09709666575722
"50","RA_IMM12",1,75.1332644092798,4.97225780472246,65.3878181901756,84.878710628384,0.428060986835003,0.372537706188329,0.483584267481677
"51","RA_IMM12",2,33.3525000311421,2.70612898055704,28.0485846917302,38.656415370554,0.190021080396206,0.15980278425097,0.220239376541443
